PLAYER_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
240,168,8,1714,278,679,0.40942562592,149,396,0.376262626262,55,85,0.647058823529,30,128,158,281,87,5,154,229,760
241,133,14,1397,196,370,0.529729729729,2,6,0.333333333333,73,126,0.579365079365,58,111,169,89,56,10,97,157,467
243,793,287,19158,2265,5177,0.437512072628,388,1109,0.349864743011,953,1224,0.778594771241,482,2105,2587,2126,912,164,1059,1588,5871
244,608,267,16844,2540,5822,0.436276193747,605,1697,0.356511490866,1073,1300,0.825384615384,319,1250,1569,2227,800,205,905,1264,6758
248,774,420,17680,2086,4677,0.446012401111,146,477,0.30607966457,791,1213,0.652102225886,1508,2394,3902,1121,817,258,890,1675,5109
251,742,712,24502,3852,8290,0.464656212303,589,1572,0.374681933842,2251,2816,0.799360795454,819,2385,3204,1897,576,284,1328,1626,10544
255,1026,972,34773,6345,13126,0.483391741581,219,697,0.314203730272,4228,5498,0.769006911604,1176,4993,6169,4252,1248,576,2459,2377,17137
258,756,577,21420,3103,6332,0.490050536955,6,28,0.214285714285,1721,2306,0.746313963573,1834,3788,5622,923,455,561,1235,2409,7933
275,839,727,28312,5337,12017,0.444120828825,1305,3247,0.401909454881,2572,2979,0.863376972138,353,2081,2434,1990,566,139,1760,2062,14551
278,1001,472,21659,3037,6480,0.468672839506,12,79,0.151898734177,1904,2616,0.727828746177,1304,1912,3216,1561,974,317,1248,1750,7990
280,640,403,12299,1194,2466,0.484184914841,0,1,0.0,966,1469,0.657590197413,1313,2123,3436,213,248,534,667,2116,3354
283,937,438,23249,2970,7663,0.387576667101,1075,2984,0.360254691689,941,1261,0.746233148295,438,1583,2021,2506,1120,165,1159,1857,7956
285,274,5,3350,314,820,0.382926829268,41,146,0.280821917808,98,138,0.710144927536,64,184,248,751,161,8,231,282,767
292,181,15,1637,197,386,0.5103626943,2,8,0.25,114,198,0.575757575757,185,303,488,66,58,26,90,244,510
296,930,587,23719,3382,7519,0.449793855565,771,2208,0.349184782608,1431,1858,0.770182992465,996,2521,3517,2649,967,355,1611,2739,8966
297,838,686,25977,5116,9701,0.527368312545,22,89,0.247191011235,4057,5862,0.69208461276,2184,4953,7137,946,414,2356,2209,2810,14311
299,688,668,25341,5571,12129,0.459312391788,620,1823,0.340098738343,2472,3016,0.819628647214,1027,3162,4189,1879,826,389,2147,1847,14234
302,889,800,31027,4705,11499,0.409166014436,1283,3816,0.336215932914,1269,1724,0.73607888631,1017,2642,3659,5972,2075,300,2067,1687,11962
308,139,42,2656,318,650,0.48923076923,1,7,0.142857142857,114,234,0.487179487179,228,297,525,94,95,87,112,298,751
310,269,62,4166,361,1023,0.352883675464,64,235,0.272340425531,246,320,0.76875,53,230,283,880,120,7,385,360,1032
316,55,2,512,81,195,0.415384615384,2,5,0.4,18,28,0.642857142857,32,62,94,10,7,8,24,66,182
320,102,7,1247,126,269,0.468401486988,12,38,0.315789473684,59,85,0.694117647058,39,110,149,117,65,17,93,151,323
321,27,2,186,21,45,0.466666666666,0,0,0.0,13,19,0.684210526315,17,38,55,6,2,15,13,33,55
323,656,95,7977,1047,2382,0.439546599496,20,89,0.224719101123,424,567,0.747795414462,509,1182,1691,351,94,194,465,1221,2538
324,827,296,20463,3101,7255,0.427429359062,940,2445,0.384458077709,875,1095,0.79908675799,564,1572,2136,1956,775,138,1019,1670,8017
339,763,608,23558,3871,8584,0.45095526561,208,732,0.284153005464,1945,2570,0.756809338521,1595,3994,5589,2140,1079,492,1735,1884,9895
340,94,1,1125,119,298,0.39932885906,8,43,0.186046511627,94,119,0.789915966386,17,73,90,152,37,13,82,146,340
344,850,264,19478,3281,7140,0.459523809523,1090,2652,0.411010558069,1249,1456,0.857829670329,232,1377,1609,2837,740,46,1213,1074,8901
346,85,0,838,71,188,0.377659574468,0,6,0.0,61,86,0.709302325581,61,92,153,60,17,27,57,90,203
351,438,63,7405,1071,2240,0.478125,4,17,0.235294117647,673,952,0.706932773109,597,863,1460,387,173,210,527,906,2819
357,168,8,1946,272,687,0.395924308588,116,321,0.36137071651,101,136,0.742647058823,22,131,153,284,84,13,183,317,761
358,704,557,23710,3995,8731,0.457564998281,503,1591,0.316153362664,2191,2831,0.773931472977,975,2171,3146,3525,1125,312,1786,1562,10684
359,694,265,11960,1712,3487,0.490966446802,22,97,0.226804123711,679,972,0.698559670781,665,1483,2148,549,228,216,537,1177,4125
361,1380,844,42561,7389,16875,0.437866666666,1253,3515,0.356472261735,3560,5165,0.689254598257,1852,4454,6306,3094,1402,1390,2502,4175,19591
363,868,692,25749,4036,8405,0.480190362879,92,353,0.260623229461,2957,3604,0.820477247502,1621,4185,5806,2224,917,675,1932,2768,11121
368,217,33,1949,256,633,0.404423380726,1,8,0.125,74,116,0.637931034482,167,369,536,93,30,117,119,321,587
369,630,285,14086,1400,3428,0.408401400233,639,1754,0.364310148232,508,659,0.770864946889,242,1406,1648,2539,776,128,1038,1276,3947
371,678,303,16423,2847,6227,0.457202505219,533,1387,0.384282624369,948,1214,0.780889621087,1029,2651,3680,891,397,296,851,1896,7175
375,563,424,17853,3583,8085,0.443166357452,667,1896,0.351793248945,1572,1935,0.812403100775,676,1490,2166,1535,367,136,1425,1327,9405
376,465,287,8477,891,1819,0.48982957669,0,3,0.0,289,604,0.478476821192,716,1443,2159,207,122,275,405,1270,2071
380,457,87,7295,1017,2362,0.430567315834,120,391,0.306905370843,350,507,0.690335305719,324,411,735,881,319,79,442,717,2504
381,381,51,6936,1050,2662,0.394440270473,400,1151,0.347523892267,382,574,0.66550522648,199,461,660,715,205,71,504,648,2882
383,966,791,29485,5068,11672,0.434201507882,315,1051,0.299714557564,2463,3267,0.753902662993,1274,2728,4002,2945,1519,432,1734,2515,12914
384,825,498,22013,3366,7227,0.465753424657,204,684,0.298245614035,890,1288,0.690993788819,732,1878,2610,1398,659,198,994,2074,7826
386,549,133,9502,1353,2945,0.459422750424,138,384,0.359375,605,773,0.782664941785,185,557,742,1699,574,20,780,707,3449
389,846,259,22212,3633,8127,0.447028423772,731,2184,0.334706959706,1813,2487,0.728990751909,1016,2539,3555,3119,817,290,1544,1465,9810
390,75,60,2331,331,754,0.43899204244,119,314,0.378980891719,176,223,0.789237668161,41,141,182,149,69,12,153,209,957
399,749,230,13557,1710,3725,0.459060402684,2,22,0.090909090909,1254,1795,0.698607242339,943,1934,2877,631,255,499,804,1657,4676
400,456,72,8549,1067,2483,0.42972211035,11,61,0.180327868852,943,1199,0.786488740617,783,1430,2213,291,203,94,421,740,3088
406,1207,1197,41916,11330,19457,0.582309708588,1,22,0.045454545454,5935,11252,0.527461784571,4209,8890,13099,3026,739,2732,3310,4146,28596
412,203,115,4531,777,1705,0.455718475073,1,12,0.083333333333,419,678,0.617994100294,419,604,1023,118,82,203,355,562,1974
416,316,118,6668,1090,2569,0.42428960685,140,406,0.344827586206,923,1174,0.786201022146,326,606,932,393,191,121,517,846,3243
420,475,158,9802,1360,3092,0.439844760672,3,24,0.125,749,1236,0.605987055016,1587,1997,3584,287,204,301,515,1284,3472
423,700,86,13762,2804,5469,0.512707990491,50,201,0.248756218905,1574,2386,0.659681475272,1248,2493,3741,461,464,375,1069,1870,7232
428,765,482,21142,3335,6886,0.484316003485,154,576,0.267361111111,1601,2361,0.678102498941,558,1114,1672,4536,785,76,1761,1615,8425
431,1051,726,29297,5505,11278,0.488118460719,33,119,0.277310924369,4304,5805,0.741429801894,3026,5808,8834,1704,1185,1279,2766,3826,15347
432,584,55,8393,1044,2368,0.440878378378,188,494,0.380566801619,218,313,0.696485623003,663,1272,1935,488,267,210,390,853,2494
434,156,13,2223,409,1013,0.403751233958,102,312,0.326923076923,220,362,0.607734806629,94,104,198,186,65,19,148,256,1140
435,298,55,5656,888,1658,0.535585042219,32,124,0.258064516129,388,690,0.562318840579,503,769,1272,182,128,235,297,515,2196
436,1208,900,36648,6543,13950,0.469032258064,6,50,0.12,3067,4014,0.764075734927,2348,5080,7428,2663,818,312,2469,3493,16159
438,47,0,272,37,98,0.377551020408,0,1,0.0,27,47,0.574468085106,31,50,81,9,13,8,20,65,101
440,247,70,3604,537,1062,0.505649717514,0,3,0.0,159,303,0.524752475247,325,558,883,165,65,126,269,577,1233
441,736,364,18477,3137,7301,0.42966716888,528,1466,0.360163710777,1484,1955,0.759079283887,936,2097,3033,978,684,319,1207,1471,8286
442,474,245,11592,1826,3579,0.510198379435,1,20,0.05,841,1221,0.688779688779,1087,2083,3170,691,293,752,798,1493,4494
445,733,454,20735,3128,6843,0.457109454917,1150,2754,0.417574437182,786,1010,0.778217821782,423,1979,2402,1234,579,230,680,965,8192
446,800,145,15703,2194,5151,0.425936711318,402,1155,0.348051948051,994,1258,0.79014308426,554,1310,1864,1130,556,86,594,1013,5784
452,791,604,25723,4692,9675,0.48496124031,39,181,0.215469613259,2416,3787,0.637972009506,2263,3604,5867,1509,582,798,1756,2560,11839
458,786,167,16016,1881,4617,0.407407407407,516,1474,0.350067842605,838,1013,0.82724580454,208,1116,1324,2748,540,83,1172,1701,5116
461,535,304,12583,1574,3523,0.446778313936,25,89,0.280898876404,553,736,0.751358695652,1623,2358,3981,696,300,161,603,1501,3726
462,672,297,15370,2168,4594,0.471919895515,5,37,0.135135135135,1339,1869,0.716425896201,1004,2377,3381,639,514,264,947,1977,5680
467,1391,1350,50116,6219,15557,0.399755736967,1988,5701,0.348710752499,3103,3954,0.784774911482,1768,6957,8725,12091,2684,450,4003,2572,17529
468,821,36,13880,1595,3672,0.434368191721,657,1676,0.392004773269,868,1023,0.848484848484,318,1195,1513,1784,722,111,808,1016,4715
469,611,584,22773,4277,10222,0.41841126981,767,2226,0.34456424079,2323,3032,0.766160949868,697,2574,3271,2414,632,109,1585,1533,11644
474,7,0,30,3,9,0.333333333333,0,0,0.0,2,5,0.4,3,3,6,3,0,2,3,10,8
475,296,118,5833,1020,2399,0.425177157148,3,36,0.083333333333,313,405,0.772839506172,394,840,1234,400,224,150,353,979,2356
671,30,2,194,30,86,0.348837209302,6,24,0.25,13,26,0.5,12,13,25,16,13,5,22,19,79
673,652,220,13773,1976,4215,0.468801897983,5,26,0.192307692307,1137,1778,0.639482564679,1426,1823,3249,397,364,297,717,1436,5094
675,61,3,495,64,170,0.376470588235,0,0,0.0,61,93,0.655913978494,45,64,109,15,15,10,40,74,189
677,658,308,15727,1865,4490,0.415367483296,219,688,0.318313953488,1693,2301,0.7357670578,704,1435,2139,936,548,103,789,1596,5642
678,135,23,1326,161,395,0.407594936708,1,4,0.25,130,166,0.78313253012,108,178,286,32,14,12,69,241,453
679,462,170,9048,1276,2652,0.481146304675,0,8,0.0,816,1282,0.636505460218,841,1181,2022,420,209,110,647,1148,3368
681,119,0,921,87,271,0.321033210332,42,125,0.336,77,113,0.681415929203,39,82,121,36,37,5,45,107,293
682,657,205,15602,1918,4628,0.414433880726,423,1303,0.324635456638,1395,2024,0.689229249011,586,1654,2240,2474,641,142,1231,1477,5654
684,140,54,2038,260,602,0.431893687707,8,23,0.347826086956,117,168,0.696428571428,171,309,480,77,31,50,133,371,645
685,472,151,7460,868,1848,0.469696969696,8,38,0.210526315789,312,495,0.630303030303,564,1139,1703,265,207,306,281,931,2056
686,1015,645,28055,5046,10161,0.496604664895,7,60,0.116666666666,2128,3178,0.669603524229,2478,5160,7638,1300,782,1102,1623,3077,12227
689,810,533,18850,2207,4451,0.495843630644,0,2,0.0,1395,1965,0.709923664122,1543,3053,4596,465,393,1968,1001,2288,5809
690,403,149,5370,583,1099,0.530482256596,0,1,0.0,288,438,0.657534246575,437,732,1169,143,182,282,253,1135,1454
691,66,2,479,46,138,0.333333333333,5,20,0.25,33,51,0.647058823529,37,55,92,21,13,9,28,52,130
692,587,253,9838,1118,2207,0.506570004531,0,2,0.0,579,932,0.621244635193,1025,1463,2488,339,390,301,550,1789,2815
693,1030,618,27021,4325,9512,0.454688814129,30,126,0.238095238095,2528,3200,0.79,2456,4119,6575,1010,606,868,1290,2974,11208
696,708,148,15157,2002,4642,0.431279620853,266,772,0.344559585492,1106,1324,0.835347432024,230,1019,1249,2444,661,60,928,1616,5376
697,541,61,9976,959,2227,0.43062415806,373,941,0.396386822529,653,765,0.853594771241,143,1295,1438,846,428,59,292,783,2944
699,912,449,23644,2896,6301,0.45960958578,1395,3442,0.405287623474,1301,1581,0.822896900695,450,2330,2780,2892,955,253,1289,1754,8488
701,13,0,79,10,28,0.357142857142,1,3,0.333333333333,6,8,0.75,5,11,16,7,6,0,5,11,27
702,565,321,15347,2444,5892,0.414799728445,936,2437,0.384078785391,921,1171,0.786507258753,347,1262,1609,1180,424,131,748,1212,6745
703,1110,650,27162,3836,7894,0.48593868761,9,32,0.28125,1292,1701,0.759553203997,1922,5406,7328,1204,724,841,1241,3579,8973
704,172,5,2351,315,760,0.41447368421,97,285,0.340350877192,124,152,0.815789473684,81,145,226,177,91,7,125,192,851
706,117,1,1305,114,326,0.349693251533,40,126,0.31746031746,68,108,0.629629629629,30,93,123,201,52,9,103,126,336
707,230,37,3685,473,1071,0.441643323996,28,114,0.245614035087,287,438,0.655251141552,291,406,697,294,200,75,324,481,1261
708,1462,1425,50414,10505,21142,0.496878251821,174,632,0.275316455696,4887,6190,0.789499192245,3209,11453,14662,5445,1859,2037,3179,3561,26071
709,128,34,2059,249,679,0.366715758468,28,126,0.222222222222,108,143,0.755244755244,115,201,316,102,73,23,82,192,634
710,118,8,1154,137,324,0.422839506172,0,2,0.0,67,105,0.638095238095,134,227,361,36,31,48,98,216,341
711,970,564,30221,5386,13182,0.408587467759,988,3202,0.30855715178,4649,5659,0.821523237321,926,2141,3067,3240,869,437,2641,1810,16409
712,68,18,606,111,208,0.533653846153,1,3,0.333333333333,46,90,0.511111111111,84,98,182,24,31,22,33,112,269
713,297,66,4495,730,1753,0.416428978893,159,470,0.33829787234,369,457,0.807439824945,176,482,658,294,93,46,310,502,1988
714,1103,875,37995,6696,15095,0.443590592911,1454,3880,0.374742268041,2460,3032,0.811345646437,1121,3683,4804,3245,996,323,1629,1812,17306
716,336,125,6090,1014,2345,0.432409381663,112,326,0.343558282208,406,665,0.610526315789,164,442,606,1179,301,54,580,599,2546
718,506,130,9869,1792,3580,0.500558659217,4,50,0.08,778,1210,0.642975206611,842,1434,2276,504,223,174,599,1096,4366
719,51,0,401,39,119,0.327731092436,18,66,0.272727272727,28,35,0.8,2,23,25,49,17,1,46,38,124
721,226,87,4737,583,1438,0.405424200278,65,202,0.321782178217,497,617,0.805510534846,122,271,393,910,217,6,395,387,1728
722,822,293,18746,3603,7355,0.489870836165,6,44,0.136363636363,1935,2710,0.714022140221,1214,1969,3183,972,462,261,1316,2250,9147
724,307,35,4840,587,1508,0.389257294429,237,669,0.354260089686,266,352,0.755681818181,78,403,481,834,263,37,467,514,1677
726,28,1,139,30,80,0.375,4,25,0.16,26,34,0.764705882352,12,12,24,5,8,1,6,27,90
727,846,551,23127,2144,5054,0.424218440838,55,265,0.207547169811,1448,1897,0.763310490247,419,1722,2141,4245,975,105,1391,2013,5791
728,64,1,889,112,261,0.429118773946,5,34,0.147058823529,56,81,0.691358024691,45,67,112,90,24,13,61,78,285
729,25,0,239,35,74,0.472972972972,3,10,0.3,16,27,0.592592592592,19,16,35,7,9,5,15,29,89
730,8,1,122,13,30,0.433333333333,0,0,0.0,14,22,0.636363636363,9,16,25,2,3,2,8,14,40
731,756,321,14749,1339,2757,0.485672832789,1,10,0.1,833,1465,0.568600682593,1475,2670,4145,443,189,1293,684,1873,3512
733,7,0,32,3,12,0.25,3,5,0.6,0,2,0.0,2,1,3,3,1,0,2,2,9
734,119,21,1816,286,701,0.407988587731,59,197,0.299492385786,116,178,0.651685393258,80,101,181,182,77,32,126,143,747
735,395,341,12066,1999,4208,0.475047528517,2,27,0.074074074074,945,1345,0.702602230483,856,1889,2745,623,200,302,744,1365,4945
739,1109,956,36250,6320,13529,0.467144652228,1086,3228,0.336431226765,2280,3162,0.721062618595,1578,5826,7404,1994,1090,1460,1693,3259,16006
753,655,169,11534,1275,3055,0.417348608837,24,120,0.2,574,831,0.690734055354,326,847,1173,1420,722,156,725,1263,3148
754,885,649,29068,4811,11247,0.427758513381,881,2413,0.365105677579,2187,2651,0.824971708789,1190,2962,4152,2851,726,188,2179,1972,12690
757,878,793,29105,4329,10662,0.406021384355,1236,3464,0.356812933025,1869,2244,0.832887700534,703,2336,3039,5371,953,81,2039,1705,11763
761,552,214,12220,2039,4083,0.499387705118,16,69,0.231884057971,965,1325,0.728301886792,1152,2006,3158,388,306,347,744,1629,5059
762,832,484,19530,2713,5935,0.457118786857,4,39,0.102564102564,1322,1847,0.71575527883,1743,3525,5268,573,532,2119,1059,2567,6752
763,683,233,12290,1638,3484,0.470149253731,1,11,0.090909090909,961,1363,0.705062362435,1054,1910,2964,266,261,322,685,1607,4238
768,193,18,2512,361,896,0.402901785714,0,9,0.0,258,387,0.666666666666,190,327,517,61,63,126,170,351,980
769,747,341,17790,2850,5981,0.476508944992,436,1026,0.424951267056,1184,1383,0.856109906001,192,1129,1321,2479,533,47,889,1128,7320
771,157,75,2641,389,754,0.515915119363,0,3,0.0,145,250,0.58,127,428,555,109,53,170,249,336,923
777,335,67,4603,572,1296,0.441358024691,187,518,0.361003861003,216,267,0.808988764044,81,322,403,569,129,30,291,439,1547
779,1000,876,34983,6776,14867,0.455774534203,1559,3896,0.400154004106,3225,3813,0.845790715971,946,3441,4387,2097,958,265,1733,2361,18336
780,214,10,2674,307,673,0.456166419019,10,39,0.25641025641,211,312,0.676282051282,237,411,648,114,103,86,173,543,835
