year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1991,47,Keith Hughes,,,,,,,
1991,48,Ike Austin,9.2,.053,-2.5,-1.0,432,8350,9
1991,49,Greg Sutton,1.0,.024,-3.6,-0.8,168,1946,3
1991,50,Joey Wright,,,,,,,
1991,51,Zan Tabak,2.4,.032,-4.9,-2.7,247,3607,6
1991,52,Anthony Jones,,,,,,,
1991,53,Von McDade,,,,,,,
1991,54,Marcus Kennedy,,,,,,,
1992,1,Shaquille O'Neal,181.7,.208,5.1,75.5,1207,41918,19
1992,2,Alonzo Mourning,89.7,.166,2.2,27.4,838,25975,15
1992,3,Christian Laettner,64.9,.121,1.0,19.5,868,25760,13
1992,4,Jim Jackson,35.8,.059,-0.9,8.2,885,29067,14
1992,5,LaPhonso Ellis,32.8,.089,-1.0,4.6,624,17616,11
1992,6,Tom Gugliotta,40.2,.082,0.6,15.3,763,23556,13
1992,7,Walt Williams,33.9,.087,0.5,11.8,708,18818,11
1992,8,Todd Day,17.5,.069,-0.9,3.4,483,12214,8
1992,9,Clar. Weatherspoon,58.4,.101,-0.3,11.8,915,27736,13
1992,10,Adam Keefe,24.9,.115,-1.3,1.7,617,10334,9
1992,11,Robert Horry,66.3,.118,1.9,26.4,1107,27069,16
1992,12,Harold Miner,4.2,.053,-3.0,-0.9,200,3748,4
1992,13,Bryant Stith,29.5,.086,-0.8,4.9,586,16417,10
1992,14,Malik Sealy,17.1,.070,-1.2,2.2,493,11720,8
1992,15,Anthony Peeler,30.7,.072,-0.7,6.6,827,20464,13
1992,16,Randy Woods,0.6,.026,-1.5,0.1,151,1093,4
1992,17,Doug Christie,55.7,.102,1.1,20.7,827,26079,15
1992,18,Tracy Murray,24.1,.096,-0.1,5.8,659,12103,12
1992,19,Don MacLean,9.4,.067,-2.5,-0.9,319,6679,9
1992,20,Hubert Davis,27.7,.088,-0.9,4.2,685,15143,12
1992,21,Jon Barry,37.2,.129,1.8,13.4,821,13880,14
1992,22,Oliver Miller,21.1,.089,0.6,7.4,493,11338,9
1992,23,Lee Mayberry,7.9,.036,-2.9,-2.3,496,10337,7
1992,24,Latrell Sprewell,56.3,.077,0.4,21.0,913,35270,13
1992,25,Elmore Spencer,0.0,.001,-4.6,-1.7,157,2641,5
1992,26,Dave Johnson,-0.3,-.032,-8.2,-0.7,59,475,2
1992,27,Byron Houston,3.9,.069,-3.9,-1.3,214,2674,4
1992,28,Marlon Maxey,2.6,.109,-3.0,-0.3,98,1146,2
1992,29,P.J. Brown,89.8,.128,0.0,17.4,1089,33823,15
1992,30,Sean Rooks,16.2,.057,-2.9,-3.1,749,13560,12
1992,31,Reggie Smith,0.4,.051,-5.1,-0.3,66,384,2
1992,32,Brent Price,12.0,.082,-0.8,2.2,418,7007,9
1992,33,Corey Williams,0.2,.037,-5.6,-0.3,39,288,2
1992,34,Chris Smith,3.2,.039,-2.3,-0.3,224,3956,3
1992,35,Tony Bennett,1.6,.041,-2.7,-0.3,152,1886,3
1992,36,Duane Cooper,-0.5,-.032,-6.1,-0.8,88,781,2
1992,37,Isaiah Morris,0.0,-.022,-5.7,-0.1,25,102,1
1992,38,Elmer Bennett,-0.3,-.095,-6.9,-0.2,21,159,3
1992,39,Litterial Green,1.6,.066,-2.4,-0.1,148,1189,5
1992,40,Steve Rogers,,,,,,,
1992,41,Popeye Jones,22.0,.084,-2.7,-2.1,535,12579,11
1992,42,Matt Geiger,28.4,.112,-1.8,0.6,552,12221,10
1992,43,Sasha Danilovic,4.2,.087,-0.7,0.8,75,2331,2
1992,44,Henry Williams,,,,,,,
1992,45,Chris King,1.0,.023,-2.8,-0.4,103,2058,3
1992,46,Robert Werdann,0.1,.026,-6.3,-0.3,47,273,3
1992,47,Darren Morningstar,0.4,.048,-4.5,-0.2,23,367,1
1992,48,Brian Davis,0.0,.000,-4.7,-0.3,68,374,1
1992,49,Ron Ellis,,,,,,,
1992,50,Matt Fish,0.6,.058,-3.1,-0.1,50,512,3
1992,51,Tim Burroughs,,,,,,,
1992,52,Matt Steigenga,0.0,-.126,-8.5,0.0,2,12,1
1992,53,Curtis Blair,,,,,,,
1992,54,Brett Roberts,,,,,,,
1993,1,Chris Webber,84.7,.132,3.4,42.1,831,30847,15
1993,2,Shawn Bradley,40.7,.100,-0.2,8.9,832,19531,12
1993,3,Anfernee Hardaway,61.9,.125,2.5,26.9,704,23711,14
1993,4,Jamal Mashburn,43.7,.092,0.3,13.4,611,22762,11
1993,5,Isaiah Rider,22.8,.061,-1.0,4.5,563,17851,9
1993,6,Calbert Cheaney,23.1,.050,-2.5,-2.9,825,22007,13
1993,7,Bobby Hurley,-1.2,-.014,-5.4,-3.5,269,4170,5
1993,8,Vin Baker,47.0,.088,-1.2,5.3,791,25737,13
1993,9,Rodney Rogers,38.8,.085,-0.3,9.7,866,21873,12
